date,volume,high,low,adj_close,close,open
2017-11-01,3813180000,2588.4,2574.92,2579.36,2579.36,2583.21
2017-11-02,4048270000,2581.11,2566.17,2579.85,2579.85,2579.46
2017-11-03,3567710000,2588.42,2576.77,2587.84,2587.84,2581.93
2017-11-06,3539080000,2593.38,2585.66,2591.13,2591.13,2587.47
2017-11-07,3809650000,2597.02,2584.35,2590.64,2590.64,2592.11
2017-11-08,3899360000,2595.47,2585.02,2594.38,2594.38,2588.71
2017-11-09,3831610000,2586.5,2566.33,2584.62,2584.62,2584.0
2017-11-10,3486910000,2583.81,2575.57,2582.3,2582.3,2580.18
2017-11-13,3402930000,2587.66,2574.48,2584.84,2584.84,2576.53
2017-11-14,3641760000,2579.66,2566.56,2578.87,2578.87,2577.75
2017-11-15,3558890000,2572.84,2557.45,2564.62,2564.62,2569.45
2017-11-16,3312710000,2590.09,2572.95,2585.64,2585.64,2572.95
2017-11-17,3300160000,2583.96,2577.62,2578.85,2578.85,2582.94
2017-11-20,3003540000,2584.64,2578.24,2582.14,2582.14,2579.49
2017-11-21,3332720000,2601.19,2589.17,2599.03,2599.03,2589.17
2017-11-22,2762950000,2600.94,2595.23,2597.08,2597.08,2600.31
2017-11-24,1349780000,2604.21,2600.42,2602.42,2602.42,2600.42
2017-11-27,3006860000,2606.41,2598.87,2601.42,2601.42,2602.66
2017-11-28,3488420000,2627.69,2605.44,2627.04,2627.04,2605.94
2017-11-29,4078280000,2634.89,2620.32,2626.07,2626.07,2627.82
2017-11-30,4938490000,2657.74,2633.93,2647.58,2647.58,2633.93
2017-12-01,3942320000,2650.62,2605.52,2642.22,2642.22,2645.1
2017-12-04,4023150000,2665.19,2639.03,2639.44,2639.44,2657.19
2017-12-05,3539040000,2648.72,2627.73,2629.57,2629.57,2639.78
2017-12-06,3229000000,2634.41,2624.75,2629.27,2629.27,2626.24
2017-12-07,3292400000,2640.99,2626.53,2636.98,2636.98,2628.38
2017-12-08,3106150000,2651.65,2644.1,2651.5,2651.5,2646.21
2017-12-11,3091950000,2660.33,2651.47,2659.99,2659.99,2652.19
2017-12-12,3555680000,2669.72,2659.78,2664.11,2664.11,2661.73
2017-12-13,3542370000,2671.88,2662.85,2662.85,2662.85,2667.59
2017-12-14,3430030000,2668.09,2652.01,2652.01,2652.01,2665.87
2017-12-15,5723920000,2679.63,2659.14,2675.81,2675.81,2660.63
2017-12-18,3724660000,2694.97,2685.92,2690.16,2690.16,2685.92
2017-12-19,3368590000,2694.44,2680.74,2681.47,2681.47,2692.71
2017-12-20,3241030000,2691.01,2676.11,2679.25,2679.25,2688.18
2017-12-21,3273390000,2692.64,2682.4,2684.57,2684.57,2683.02
2017-12-22,2399830000,2685.35,2678.13,2683.34,2683.34,2684.22
2017-12-26,1968780000,2682.74,2677.96,2680.5,2680.5,2679.09
2017-12-27,2202080000,2685.64,2678.91,2682.62,2682.62,2682.1
2017-12-28,2153330000,2687.66,2682.69,2687.54,2687.54,2686.1
2017-12-29,2443490000,2692.12,2673.61,2673.61,2673.61,2689.15
2018-01-02,3367250000,2695.89,2682.36,2695.81,2695.81,2683.73
2018-01-03,3538660000,2714.37,2697.77,2713.06,2713.06,2697.85
2018-01-04,3695260000,2729.29,2719.07,2723.99,2723.99,2719.31
2018-01-05,3236620000,2743.45,2727.92,2743.15,2743.15,2731.33
2018-01-08,3242650000,2748.51,2737.6,2747.71,2747.71,2742.67
2018-01-09,3453480000,2759.14,2747.86,2751.29,2751.29,2751.15
2018-01-10,3576350000,2750.8,2736.06,2748.23,2748.23,2745.55
2018-01-11,3641320000,2767.56,2752.78,2767.56,2767.56,2752.97
2018-01-12,3573970000,2787.85,2769.64,2786.24,2786.24,2770.18
2018-01-16,4325970000,2807.54,2768.64,2776.42,2776.42,2798.96
2018-01-17,3778050000,2807.04,2778.38,2802.56,2802.56,2784.99
2018-01-18,3681470000,2805.83,2792.56,2798.03,2798.03,2802.4
2018-01-19,3639430000,2810.33,2798.08,2810.3,2810.3,2802.6
2018-01-22,3471780000,2833.03,2808.12,2832.97,2832.97,2809.16
2018-01-23,3519650000,2842.24,2830.59,2839.13,2839.13,2835.05
2018-01-24,4014070000,2852.97,2824.81,2837.54,2837.54,2845.42
2018-01-25,3835150000,2848.56,2830.94,2839.25,2839.25,2846.24
2018-01-26,3443230000,2872.87,2846.18,2872.87,2872.87,2847.48
2018-01-29,3573830000,2870.62,2851.48,2853.53,2853.53,2867.23
2018-01-30,3990650000,2837.75,2818.27,2822.43,2822.43,2832.74
2018-01-31,4261280000,2839.26,2813.04,2823.81,2823.81,2832.41
2018-02-01,3938450000,2835.96,2812.7,2821.98,2821.98,2816.45
2018-02-02,4301130000,2808.92,2759.97,2762.13,2762.13,2808.92
2018-02-05,5283460000,2763.39,2638.17,2648.94,2648.94,2741.06
2018-02-06,5891660000,2701.04,2593.07,2695.14,2695.14,2614.78
2018-02-07,4626570000,2727.67,2681.33,2681.66,2681.66,2690.95
2018-02-08,5305440000,2685.27,2580.56,2581.0,2581.0,2685.01
2018-02-09,5680070000,2638.67,2532.69,2619.55,2619.55,2601.78
2018-02-12,4055790000,2672.61,2622.45,2656.0,2656.0,2636.75
2018-02-13,3472870000,2668.84,2637.08,2662.94,2662.94,2646.27
2018-02-14,4003740000,2702.1,2648.87,2698.63,2698.63,2651.21
2018-02-15,3684910000,2731.51,2689.82,2731.2,2731.2,2713.46
2018-02-16,3637460000,2754.42,2725.11,2732.22,2732.22,2727.14
2018-02-20,3627610000,2737.6,2706.76,2716.26,2716.26,2722.99
2018-02-21,3779400000,2747.75,2701.29,2701.33,2701.33,2720.53
2018-02-22,3701270000,2731.26,2697.77,2703.96,2703.96,2710.42
2018-02-23,3189190000,2747.76,2713.74,2747.3,2747.3,2715.8
2018-02-26,3424650000,2780.64,2753.78,2779.6,2779.6,2757.37
2018-02-27,3745080000,2789.15,2744.22,2744.28,2744.28,2780.45
2018-02-28,4230660000,2761.52,2713.54,2713.83,2713.83,2753.78
2018-03-01,4503970000,2730.89,2659.65,2677.67,2677.67,2715.22
2018-03-02,3882450000,2696.25,2647.32,2691.25,2691.25,2658.89
2018-03-05,3710810000,2728.09,2675.75,2720.94,2720.94,2681.06
2018-03-06,3370690000,2732.08,2711.26,2728.12,2728.12,2730.18
2018-03-07,3393270000,2730.6,2701.74,2726.8,2726.8,2710.18
2018-03-08,3212320000,2740.45,2722.65,2738.97,2738.97,2732.75
2018-03-09,3364100000,2786.57,2751.54,2786.57,2786.57,2752.91
2018-03-12,3185020000,2796.98,2779.26,2783.02,2783.02,2790.54
2018-03-13,3301650000,2801.9,2758.68,2765.31,2765.31,2792.31
2018-03-14,3391360000,2777.11,2744.38,2749.48,2749.48,2774.06
2018-03-15,3500330000,2763.03,2741.47,2747.33,2747.33,2754.27
2018-03-16,5372340000,2761.85,2749.97,2752.01,2752.01,2750.57
2018-03-19,3302130000,2741.38,2694.59,2712.92,2712.92,2741.38
2018-03-20,3261030000,2724.22,2710.05,2716.94,2716.94,2715.05
2018-03-21,3415510000,2739.14,2709.79,2711.93,2711.93,2714.99
2018-03-22,3739800000,2695.68,2641.59,2643.69,2643.69,2691.36
2018-03-23,3815080000,2657.67,2585.89,2588.26,2588.26,2646.71
2018-03-26,3511100000,2661.36,2601.81,2658.55,2658.55,2619.35
2018-03-27,3706350000,2674.78,2596.12,2612.62,2612.62,2667.57
2018-03-28,3864500000,2632.65,2593.06,2605.0,2605.0,2611.3
2018-03-29,3565990000,2659.07,2609.72,2640.87,2640.87,2614.41
2018-04-02,3598520000,2638.3,2553.8,2581.88,2581.88,2633.45
2018-04-03,3392810000,2619.14,2575.49,2614.45,2614.45,2592.17
2018-04-04,3350340000,2649.86,2573.61,2644.69,2644.69,2584.04
2018-04-05,3178970000,2672.08,2649.58,2662.84,2662.84,2657.36
2018-04-06,3299700000,2656.88,2586.27,2604.47,2604.47,2645.82
2018-04-09,3062960000,2653.55,2610.79,2613.16,2613.16,2617.18
2018-04-10,3543930000,2665.45,2635.78,2656.87,2656.87,2638.41
2018-04-11,3020760000,2661.43,2639.25,2642.19,2642.19,2643.89
2018-04-12,3021320000,2674.72,2653.83,2663.99,2663.99,2653.83
2018-04-13,2960910000,2680.26,2645.05,2656.3,2656.3,2676.9
2018-04-16,3019700000,2686.49,2665.16,2677.84,2677.84,2670.1
2018-04-17,3234360000,2713.34,2692.05,2706.39,2706.39,2692.74
2018-04-18,3383410000,2717.49,2703.63,2708.64,2708.64,2710.11
2018-04-19,3349370000,2702.84,2681.9,2693.13,2693.13,2701.16
2018-04-20,3388590000,2693.94,2660.61,2670.14,2670.14,2692.56
2018-04-23,3017480000,2682.86,2657.99,2670.29,2670.29,2675.4
2018-04-24,3706740000,2683.55,2617.32,2634.56,2634.56,2680.8
2018-04-25,3499440000,2645.3,2612.67,2639.4,2639.4,2634.92
2018-04-26,3665720000,2676.48,2647.16,2666.94,2666.94,2651.65
2018-04-27,3219030000,2677.35,2659.01,2669.91,2669.91,2675.47
2018-04-30,3734530000,2682.87,2648.04,2648.05,2648.05,2682.51
2018-05-01,3559850000,2655.27,2625.41,2654.8,2654.8,2642.96
2018-05-02,4010770000,2660.87,2631.7,2635.67,2635.67,2654.24
2018-05-03,3851470000,2637.14,2594.62,2629.73,2629.73,2628.08
2018-05-04,3327220000,2670.93,2615.32,2663.42,2663.42,2621.45
2018-05-07,3237960000,2683.35,2664.7,2672.63,2672.63,2680.34
2018-05-08,3717570000,2676.34,2655.2,2671.92,2671.92,2670.26
2018-05-09,3909500000,2701.27,2674.14,2697.79,2697.79,2678.12
2018-05-10,3333050000,2726.11,2704.54,2723.07,2723.07,2705.02
2018-05-11,2862700000,2732.86,2717.45,2727.72,2727.72,2722.7
2018-05-14,2972660000,2742.1,2725.47,2730.13,2730.13,2738.47
2018-05-15,3290680000,2718.59,2701.91,2711.45,2711.45,2718.59
2018-05-16,3202670000,2727.76,2712.17,2722.46,2722.46,2712.62
2018-05-17,3475400000,2731.96,2711.36,2720.13,2720.13,2719.71
2018-05-18,3368690000,2719.5,2709.18,2712.97,2712.97,2717.35
2018-05-21,3019890000,2739.19,2725.7,2733.01,2733.01,2735.39
2018-05-22,3366310000,2742.24,2721.88,2724.44,2724.44,2738.34
2018-05-23,3326290000,2733.33,2709.54,2733.29,2733.29,2713.98
2018-05-24,3256030000,2731.97,2707.38,2727.76,2727.76,2730.94
2018-05-25,2995260000,2727.36,2714.99,2721.33,2721.33,2723.6
2018-05-29,3736890000,2710.67,2676.81,2689.86,2689.86,2705.11
2018-05-30,3561050000,2729.34,2702.43,2724.01,2724.01,2702.43
2018-05-31,4235370000,2722.5,2700.68,2705.27,2705.27,2720.98
2018-06-01,3684130000,2736.93,2718.7,2734.62,2734.62,2718.7
2018-06-04,3376510000,2749.16,2740.54,2746.87,2746.87,2741.67
2018-06-05,3517790000,2752.61,2739.51,2748.8,2748.8,2748.46
2018-06-06,3651640000,2772.39,2748.46,2772.35,2772.35,2753.25
2018-06-07,3711330000,2779.9,2760.16,2770.37,2770.37,2774.84
2018-06-08,3123210000,2779.39,2763.59,2779.03,2779.03,2765.84
2018-06-11,3232330000,2790.21,2780.17,2782.0,2782.0,2780.18
2018-06-12,3401010000,2789.8,2778.78,2786.85,2786.85,2785.6
2018-06-13,3779230000,2791.47,2774.65,2775.63,2775.63,2787.94
2018-06-14,3526890000,2789.06,2776.52,2782.49,2782.49,2783.21
2018-06-15,5428790000,2782.81,2761.73,2779.66,2779.66,2777.78
2018-06-18,3287150000,2774.99,2757.12,2773.75,2773.75,2765.79
2018-06-19,3661470000,2765.05,2743.19,2762.59,2762.59,2752.01
2018-06-20,3327600000,2774.86,2763.91,2767.32,2767.32,2769.73
2018-06-21,3300060000,2769.28,2744.39,2749.76,2749.76,2769.28
2018-06-22,5450550000,2764.17,2752.68,2754.88,2754.88,2760.79
2018-06-25,3655080000,2742.94,2698.67,2717.07,2717.07,2742.94
2018-06-26,3555090000,2732.91,2715.6,2723.06,2723.06,2722.12
2018-06-27,3776090000,2746.09,2699.38,2699.63,2699.63,2728.45
2018-06-28,3428140000,2724.34,2691.99,2716.31,2716.31,2698.69
2018-06-29,3565620000,2743.26,2718.03,2718.37,2718.37,2727.13
2018-07-02,3073650000,2727.26,2698.95,2726.71,2726.71,2704.95
2018-07-03,1911470000,2736.58,2711.16,2713.22,2713.22,2733.27
2018-07-05,2953420000,2737.83,2716.02,2736.61,2736.61,2724.19
2018-07-06,2554780000,2764.41,2733.52,2759.82,2759.82,2737.68
2018-07-09,3050040000,2784.65,2770.73,2784.17,2784.17,2775.62
2018-07-10,3063850000,2795.58,2786.24,2793.84,2793.84,2788.56
2018-07-11,2964740000,2785.91,2770.77,2774.02,2774.02,2779.82
2018-07-12,2821690000,2799.22,2781.53,2798.29,2798.29,2783.14
2018-07-13,2614000000,2804.53,2791.69,2801.31,2801.31,2796.93
2018-07-16,2812230000,2801.19,2793.39,2798.43,2798.43,2797.36
2018-07-17,3050730000,2814.19,2789.24,2809.55,2809.55,2789.34
2018-07-18,3089780000,2816.76,2805.89,2815.62,2815.62,2811.35
2018-07-19,3266700000,2812.05,2799.77,2804.49,2804.49,2809.37
2018-07-20,3230210000,2809.7,2800.01,2801.83,2801.83,2804.55
2018-07-23,2907430000,2808.61,2795.14,2806.98,2806.98,2799.17
2018-07-24,3417530000,2829.99,2811.12,2820.4,2820.4,2820.68
2018-07-25,3553010000,2848.03,2817.73,2846.07,2846.07,2817.73
2018-07-26,3653330000,2845.57,2835.26,2837.44,2837.44,2835.49
2018-07-27,3415710000,2843.17,2808.34,2818.82,2818.82,2842.35
2018-07-30,3245770000,2821.74,2798.11,2802.6,2802.6,2819.0
2018-07-31,3892100000,2824.46,2808.06,2816.29,2816.29,2809.73
2018-08-01,3496990000,2825.83,2805.85,2813.36,2813.36,2821.17
2018-08-02,3467380000,2829.91,2796.34,2827.22,2827.22,2800.48
2018-08-03,3030390000,2840.38,2827.37,2840.35,2840.35,2829.62
2018-08-06,2874540000,2853.29,2835.98,2850.4,2850.4,2840.29
2018-08-07,3162770000,2863.43,2855.92,2858.45,2858.45,2855.92
2018-08-08,2972200000,2862.44,2853.09,2857.7,2857.7,2856.79
2018-08-09,3047050000,2862.48,2851.98,2853.58,2853.58,2857.19
2018-08-10,3256040000,2842.2,2825.81,2833.28,2833.28,2838.9
2018-08-13,3158450000,2843.4,2819.88,2821.93,2821.93,2835.46
2018-08-14,2976970000,2843.11,2826.58,2839.96,2839.96,2827.88
2018-08-15,3645070000,2827.95,2802.49,2818.37,2818.37,2827.95
2018-08-16,3219880000,2850.49,2831.44,2840.69,2840.69,2831.44
2018-08-17,3024100000,2855.63,2833.73,2850.13,2850.13,2838.32
2018-08-20,2748020000,2859.76,2850.62,2857.05,2857.05,2853.93
2018-08-21,3147140000,2873.23,2861.32,2862.96,2862.96,2861.51
2018-08-22,2689560000,2867.54,2856.05,2861.82,2861.82,2860.99
2018-08-23,2713910000,2868.78,2854.03,2856.98,2856.98,2860.29
